"","GEOID","TotalPop","MedHHInc","Poverty","PubSNAP","MedRent","MedHomeVal","OwnerOcc","RenterOcc","VacHU","TotalHU","MedHUBuilt","BlackPop","HispLatPop","WhitePop","AsianPop","NatAmPop","Bach_deg","HS_Grad","No_HS_Deg","Grad_deg","Drive_commute","Carpool_commute","PubTrans_commute","Bike_commute","Walk_commute","WFA_commute","US_cit","NotUS_cit","EmplPop","UnemplPop","Occ_Agri","Occ_Const","Occ_Manuf","Occ_Wholesale","Occ_Retail","Occ_Transport","Occ_Info","Occ_FinIns","Occ_Prof_sci_mangr","Occ_Edu_health","Occ_Art_Hosp","Occ_PubAdmin","Occ_ArmedForce","Occ_other"
"127","47037010903",4930,35505,1538,515,607,115900,892,898,227,2017,1984,4356,194,380,0,0,301,1027,625,102,1729,387,90,0,0,11,4769,161,2273,230,0,135,243,72,253,148,22,99,165,657,182,140,0,101
"128","47037011400",5014,30436,1352,725,543,132800,891,1128,319,2338,1956,2913,432,1475,10,0,578,891,828,151,1515,283,179,0,18,148,4690,198,2226,386,10,138,161,76,256,56,159,88,266,432,301,118,0,113
"129","47037014200",1684,14688,916,415,444,112200,108,801,153,1062,1967,1958,11,280,29,0,77,460,273,72,305,146,91,20,79,83,2151,104,746,238,0,0,33,16,74,54,0,7,114,185,99,7,0,135
"130","47037019112",3991,55654,573,350,664,153900,944,458,66,1468,1989,1117,837,1623,275,0,566,762,301,273,1683,272,24,0,0,65,2915,638,2227,169,0,262,133,94,249,47,100,129,170,317,295,116,0,174
"131","47037019108",3309,31434,988,393,611,128000,258,909,145,1312,1975,364,1738,951,201,0,114,878,546,74,1239,315,0,0,0,6,1618,1345,1678,234,0,264,183,38,287,19,72,73,188,76,227,24,0,154
"132","47037015615",4576,35956,1222,242,715,112800,815,700,112,1627,1977,1265,1686,1342,137,0,249,946,739,68,1648,249,35,0,65,81,2926,1238,2085,155,0,203,322,33,286,136,24,194,258,243,204,72,0,103
"133","47037019111",4474,41816,879,276,673,122300,513,1354,162,2029,1982,1476,990,1639,274,8,530,907,365,188,2233,264,8,0,30,31,3426,798,2690,227,0,236,274,75,437,82,52,121,244,559,414,56,6,73
"134","47037019117",4400,82355,321,88,1213,191200,1194,239,38,1471,2003,2185,93,1740,299,0,980,526,201,264,2212,308,0,0,0,92,3788,282,2627,11,10,38,203,122,439,119,92,233,266,720,89,70,0,211
"135","47037018803",3354,67101,89,7,982,313500,1134,665,126,1925,1987,141,59,2992,126,0,1016,278,0,717,1850,31,0,0,63,111,2998,85,2187,59,0,32,127,94,183,53,132,217,292,654,60,55,0,208
"136","47037010502",4635,52139,495,210,711,144900,1328,516,234,2078,1984,629,220,3679,34,0,561,1103,330,213,1979,306,24,0,24,17,4363,185,2428,287,0,156,270,102,196,125,49,240,243,477,298,125,0,113
