Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Longitude,Location,citydst
2000 E 23rd St,Chattanooga,TN,37404,11/05/2017 10:25:00 AM,TN0330100,B6,Baker S,120,Robbery,Part 1 Crimes,17-107924,3,Pending/Possible Leads,35.018415,-85.28304,POINT (-85.28304 35.018415),8
2700 Dodson Ave,Chattanooga,TN,37406,11/05/2017 01:45:00 AM,TN0330100,B2,Baker N,120,Robbery,Part 1 Crimes,17-107850,3,Pending/Possible Leads,35.069341,-85.251732,POINT (-85.251732 35.069341),8
700 E 48th St,Chattanooga,TN,37410,11/04/2017 09:49:00 PM,TN0330100,A12,Adam S,13A,Aggravated Assault,Part 1 Crimes,17-107766,2,Cleared by Arrest,34.993499,-85.306083,POINT (-85.306083 34.993499),7
6500 Shallowford Rd,Chattanooga,TN,37421,11/04/2017 08:35:00 PM,TN0330100,C6,Charlie N,120,Robbery,Part 1 Crimes,17-107760,3,Pending/Possible Leads,35.047417,-85.173386,POINT (-85.173386 35.047417),6
4400 Oakwood Dr,Chattanooga,TN,37416,11/04/2017 05:35:00 PM,TN0330100,C5,Charlie N,13A,Aggravated Assault,Part 1 Crimes,17-107708,3,Pending/Possible Leads,35.087968000000004,-85.183648,POINT (-85.183648 35.087968),5
600 Maple Street Ct,Chattanooga,TN,37402,11/04/2017 03:30:00 PM,TN0330100,A6,Adam S,13A,Aggravated Assault,Part 1 Crimes,17-107673,3,Pending/Possible Leads,35.042433,-85.31694300000001,POINT (-85.316943 35.042433),7
700 Belle Vista Ave,Chattanooga,TN,37411,11/03/2017 04:40:00 PM,TN0330100,C2,Charlie S,13A,Aggravated Assault,Part 1 Crimes,17-107322,A,Cleared by Arrest Adult (One Incident),35.032779999999995,-85.236006,POINT (-85.236006 35.03278),9
3400 Lightfoot Mill Rd,Chattanooga,TN,37406,11/03/2017 04:00:00 AM,TN0330100,B1,Baker N,13A,Aggravated Assault,Part 1 Crimes,17-107119,3,Pending/Possible Leads,35.067958,-85.225042,POINT (-85.225042 35.067958),5
700 E 11th St,Chattanooga,TN,37403,11/02/2017 07:14:00 PM,TN0330100,A9,Adam S,120,Robbery,Part 1 Crimes,17-107016,3,Pending/Possible Leads,35.040245999999996,-85.300546,POINT (-85.300546 35.040246),8
600 Courtney Ln,Chattanooga,TN,37415,11/02/2017 10:00:00 AM,TN0330100,A1,Adam N,11A,Forcible Rape,Part 1 Crimes,17-106891,1,Unfounded,35.167381,-85.280793,POINT (-85.280793 35.167381),1
1200 Sholar Ave,Chattanooga,TN,37406,11/02/2017 09:15:00 AM,TN0330100,B3,Baker N,13A,Aggravated Assault,Part 1 Crimes,17-106845,3,Pending/Possible Leads,35.053415,-85.269476,POINT (-85.269476 35.053415),8
2500 Broad St,Chattanooga,TN,37408,11/02/2017 12:03:00 AM,TN0330100,A10,Adam S,120,Robbery,Part 1 Crimes,17-106721,3,Pending/Possible Leads,35.028192000000004,-85.316984,POINT (-85.316984 35.028192),7
3500 Perry St,Chattanooga,TN,37411,11/01/2017 08:00:00 PM,TN0330100,C2,Charlie S,13A,Aggravated Assault,Part 1 Crimes,17-106705,2,Cleared by Arrest,35.030331000000004,-85.242223,POINT (-85.242223 35.030331),9
6200 Shallowford Rd,Chattanooga,TN,37421,11/01/2017 06:12:00 PM,TN0330100,C6,Charlie N,13A,Aggravated Assault,Part 1 Crimes,17-106680,3,Pending/Possible Leads,35.053389,-85.179316,POINT (-85.179316 35.053389),6
1900 Randolph St,Chattanooga,TN,37404,11/01/2017 03:25:00 PM,TN0330100,B6,Baker S,13A,Aggravated Assault,Part 1 Crimes,17-106648,3,Pending/Possible Leads,35.018638,-85.272846,POINT (-85.272846 35.018638),9
2800 Cannon Ave,Chattanooga,TN,37404,11/01/2017 03:10:00 PM,TN0330100,B7,Baker S,13A,Aggravated Assault,Part 1 Crimes,17-106634,3,Pending/Possible Leads,35.015538,-85.29625,POINT (-85.29625 35.015538),8
3900 16th Ave,Chattanooga,TN,37407,11/01/2017 03:00:00 PM,TN0330100,B9,Baker S,13A,Aggravated Assault,Part 1 Crimes,17-106642,2,Cleared by Arrest,34.994122,-85.278114,POINT (-85.278114 34.994122),7
7800 Shallowford Rd,Chattanooga,TN,37421,11/01/2017 08:00:00 AM,TN0330100,C9,Charlie N,11A,Forcible Rape,Part 1 Crimes,18-026905,4,Inactive/Suspended,35.033783,-85.132831,POINT (-85.132831 35.033783),4
4200 Grand Ave,Chattanooga,TN,37410,10/31/2017 11:38:00 PM,TN0330100,A12,Adam S,13A,Aggravated Assault,Part 1 Crimes,17-106465,3,Pending/Possible Leads,35.005301,-85.319957,POINT (-85.319957 35.005301),7
2300 E 17th St,Chattanooga,TN,37404,10/31/2017 08:00:00 PM,TN0330100,B6,Baker S,13A,Aggravated Assault,Part 1 Crimes,17-106535,2,Cleared by Arrest,35.022587,-85.273425,POINT (-85.273425 35.022587),9
1600 S Hawthorne St,Chattanooga,TN,37404,10/31/2017 12:09:00 PM,TN0330100,B6,Baker S,120,Robbery,Part 1 Crimes,17-106283,3,Pending/Possible Leads,35.026605,-85.283305,POINT (-85.283305 35.026605),8
3200 Wilcox Blvd,Chattanooga,TN,37411,10/31/2017 10:38:00 AM,TN0330100,C1,Charlie S,120,Robbery,Part 1 Crimes,17-106252,3,Pending/Possible Leads,35.048052999999996,-85.242897,POINT (-85.242897 35.048053),5
7500 Ferdinand Piech Way,Chattanooga,TN,37416,10/31/2017 12:00:00 AM,TN0330100,C6,Charlie N,13A,Aggravated Assault,Part 1 Crimes,17-106157,3,Pending/Possible Leads,35.090545,-85.131631,POINT (-85.131631 35.090545),6
4500 Touch Me Not Trl,Chattanooga,TN,37415,10/30/2017 07:10:00 PM,TN0330100,A1,Adam N,13A,Aggravated Assault,Part 1 Crimes,17-106089,2,Cleared by Arrest,35.125949,-85.30287200000001,POINT (-85.302872 35.125949),1
3600 Chateau Ln,Chattanooga,TN,37411,10/30/2017 03:41:00 PM,TN0330100,C2,Charlie S,13A,Aggravated Assault,Part 1 Crimes,17-106006,A,Cleared by Arrest Adult (One Incident),35.023164,-85.246336,POINT (-85.246336 35.023164),6
900 Dodds Ave,Chattanooga,TN,37404,10/30/2017 11:15:00 AM,TN0330100,B5,Baker S,120,Robbery,Part 1 Crimes,17-105918,3,Pending/Possible Leads,35.026917000000005,-85.267594,POINT (-85.267594 35.026917),9
4000 Shallowford Rd,Chattanooga,TN,37411,10/29/2017 09:57:00 PM,TN0330100,C3,Charlie S,120,Robbery,Part 1 Crimes,17-105791,3,Pending/Possible Leads,35.042201999999996,-85.218311,POINT (-85.218311 35.042202),5
2500 Broad St,Chattanooga,TN,37408,10/29/2017 09:39:00 PM,TN0330100,A10,Adam S,120,Robbery,Part 1 Crimes,17-105788,3,Pending/Possible Leads,35.026995,-85.316705,POINT (-85.316705 35.026995),7
3900 Dahlia St,Chattanooga,TN,37421,10/29/2017 04:58:00 PM,TN0330100,C1,Charlie S,13A,Aggravated Assault,Part 1 Crimes,17-105743,2,Cleared by Arrest,35.058791,-85.20962899999999,POINT (-85.209629 35.058791),5
500 Market St,Chattanooga,TN,37402,10/29/2017 01:55:00 PM,TN0330100,A7,Adam S,13A,Aggravated Assault,Part 1 Crimes,17-105700,3,Pending/Possible Leads,35.050307000000004,-85.31057999999999,POINT (-85.31058 35.050307),7
6300 Hixson Pike,Chattanooga,TN,37343,10/29/2017 04:52:00 AM,TN0330100,A1,Adam N,13A,Aggravated Assault,Part 1 Crimes,17-105633,2,Cleared by Arrest,35.154399000000005,-85.19782099999999,POINT (-85.197821 35.154399),3
300 Cherokee Blvd,Chattanooga,TN,37405,10/29/2017 02:08:00 AM,TN0330100,A4,Adam N,120,Robbery,Part 1 Crimes,17-105608,3,Pending/Possible Leads,35.064916000000004,-85.311408,POINT (-85.311408 35.064916),1
4100 Dorris St,Chattanooga,TN,37410,10/28/2017 10:18:00 PM,TN0330100,A12,Adam S,13A,Aggravated Assault,Part 1 Crimes,17-105537,2,Cleared by Arrest,35.002418,-85.31097299999999,POINT (-85.310973 35.002418),7
900 Forest Ave,Chattanooga,TN,37405,10/28/2017 05:25:00 PM,TN0330100,A4,Adam N,13A,Aggravated Assault,Part 1 Crimes,17-105470,2,Cleared by Arrest,35.071022,-85.30015800000001,POINT (-85.300158 35.071022),2
600 W 14th Street Ct,Chattanooga,TN,37402,10/28/2017 06:28:00 AM,TN0330100,A6,Adam S,13A,Aggravated Assault,Part 1 Crimes,17-105312,3,Pending/Possible Leads,35.041843,-85.31833900000001,POINT (-85.318339 35.041843),7
800 Wheeler Ave,Chattanooga,TN,37406,10/28/2017 12:01:00 AM,TN0330100,B3,Baker N,13A,Aggravated Assault,Part 1 Crimes,17-105254,2,Cleared by Arrest,35.044526,-85.262874,POINT (-85.262874 35.044526),8
